,Type,Date,Open,High,Low,Close,Volume
1826,Bitcoin USD,2018-01-01,14112.2002,14112.2002,13154.7002,13657.2002,10291200000.0
1827,Bitcoin USD,2018-01-02,13625.0,15444.59961,13163.59961,14982.09961,16846600192.0
1828,Bitcoin USD,2018-01-03,14978.2002,15572.79981,14844.5,15201.0,16871900160.0
1829,Bitcoin USD,2018-01-04,15270.7002,15739.7002,14522.2002,15599.2002,21783199744.0
1830,Bitcoin USD,2018-01-05,15477.2002,17705.19922,15202.79981,17429.5,23840899072.0
1831,Bitcoin USD,2018-01-06,17462.09961,17712.40039,16764.59961,17527.0,18314600448.0
1832,Bitcoin USD,2018-01-07,17527.30078,17579.59961,16087.7002,16477.59961,15866000384.0
1833,Bitcoin USD,2018-01-08,16476.19922,16537.90039,14208.2002,15170.09961,18413899776.0
1834,Bitcoin USD,2018-01-09,15123.7002,15497.5,14424.0,14595.40039,16659999744.0
1835,Bitcoin USD,2018-01-10,14588.5,14973.29981,13691.2002,14973.29981,18500800512.0
1836,Bitcoin USD,2018-01-11,14968.2002,15018.79981,13105.90039,13405.79981,16534099968.0
1837,Bitcoin USD,2018-01-12,13453.90039,14229.90039,13158.09961,13980.59961,12065699840.0
1838,Bitcoin USD,2018-01-13,13952.40039,14659.5,13952.40039,14360.2002,12763599872.0
1839,Bitcoin USD,2018-01-14,14370.79981,14511.79981,13268.0,13772.0,11084099584.0
1840,Bitcoin USD,2018-01-15,13767.29981,14445.5,13641.7002,13819.79981,12750799872.0
1841,Bitcoin USD,2018-01-16,13836.09961,13843.09961,10194.90039,11490.5,18853799936.0
1842,Bitcoin USD,2018-01-17,11431.09961,11678.0,9402.290039,11188.59961,18830600192.0
1843,Bitcoin USD,2018-01-18,11198.79981,12107.29981,10942.5,11474.90039,15020399616.0
1844,Bitcoin USD,2018-01-19,11429.79981,11992.79981,11172.09961,11607.40039,10740400128.0
1845,Bitcoin USD,2018-01-20,11656.2002,13103.0,11656.2002,12899.2002,11801700352.0
1846,Bitcoin USD,2018-01-21,12889.2002,12895.90039,11288.2002,11600.09961,9935179776.0
1847,Bitcoin USD,2018-01-22,11633.09961,11966.40039,10240.2002,10931.40039,10537400320.0
1848,Bitcoin USD,2018-01-23,10944.5,11377.59961,10129.7002,10868.40039,9660609536.0
1849,Bitcoin USD,2018-01-24,10903.40039,11501.40039,10639.79981,11359.40039,9940989952.0
1850,Bitcoin USD,2018-01-25,11421.7002,11785.7002,11057.40039,11259.40039,8873169920.0
1851,Bitcoin USD,2018-01-26,11256.0,11656.7002,10470.29981,11171.40039,9746199552.0
1852,Bitcoin USD,2018-01-27,11174.90039,11614.90039,10989.2002,11440.7002,7583269888.0
1853,Bitcoin USD,2018-01-28,11475.29981,12040.29981,11475.29981,11786.29981,8350360064.0
1854,Bitcoin USD,2018-01-29,11755.5,11875.59961,11179.2002,11296.40039,7107359744.0
1855,Bitcoin USD,2018-01-30,11306.79981,11307.2002,10036.2002,10106.29981,8637859840.0
1856,Bitcoin USD,2018-01-31,10108.2002,10381.59961,9777.419922,10221.09961,8041160192.0
1857,Bitcoin USD,2018-02-01,10237.29981,10288.79981,8812.280273,9170.540039,9959400448.0
1858,Bitcoin USD,2018-02-02,9142.280273,9142.280273,7796.490234,8830.75,12726899712.0
1859,Bitcoin USD,2018-02-03,8852.120117,9430.75,8251.629883,9174.910156,7263790080.0
1860,Bitcoin USD,2018-02-04,9175.700195,9334.870117,8031.220215,8277.009766,7073549824.0
1861,Bitcoin USD,2018-02-05,8270.540039,8364.839844,6756.680176,6955.27002,9285289984.0
1862,Bitcoin USD,2018-02-06,7051.75,7850.700195,6048.259766,7754.0,13999800320.0
1863,Bitcoin USD,2018-02-07,7755.490234,8509.110352,7236.790039,7621.299805,9169280000.0
1864,Bitcoin USD,2018-02-08,7637.859863,8558.769531,7637.859863,8265.589844,9346750464.0
1865,Bitcoin USD,2018-02-09,8271.839844,8736.980469,7884.709961,8736.980469,6784820224.0
1866,Bitcoin USD,2018-02-10,8720.080078,9122.549805,8295.469727,8621.900391,7780960256.0
1867,Bitcoin USD,2018-02-11,8616.129883,8616.129883,7931.100098,8129.970215,6122189824.0
1868,Bitcoin USD,2018-02-12,8141.430176,8985.919922,8141.430176,8926.570313,6256439808.0
1869,Bitcoin USD,2018-02-13,8926.719727,8958.469727,8455.410156,8598.30957,5696719872.0
1870,Bitcoin USD,2018-02-14,8599.919922,9518.540039,8599.919922,9494.629883,7909819904.0
1871,Bitcoin USD,2018-02-15,9488.320313,10234.79981,9395.580078,10166.40039,9062540288.0
1872,Bitcoin USD,2018-02-16,10135.7002,10324.09961,9824.820313,10233.90039,7296159744.0
1873,Bitcoin USD,2018-02-17,10207.5,11139.5,10149.40039,11112.7002,8660880384.0
1874,Bitcoin USD,2018-02-18,11123.40039,11349.79981,10326.0,10551.79981,8744009728.0
1875,Bitcoin USD,2018-02-19,10552.59961,11273.79981,10513.2002,11225.29981,7652089856.0
