,Type,Date,Open,High,Low,Close,Volume
7304,BNB USD,2018-01-01,8.62953,8.70057,7.95922,8.41461,66422800.0
7305,BNB USD,2018-01-02,8.4577,9.12259,8.21718,8.83777,104789000.0
7306,BNB USD,2018-01-03,8.77014,9.58078,8.52918,9.53588,108852000.0
7307,BNB USD,2018-01-04,9.44584,9.53849,8.85413,9.21399,158819008.0
7308,BNB USD,2018-01-05,9.14568,16.717699,9.09468,14.9172,341504992.0
7309,BNB USD,2018-01-06,14.8689,23.5082,14.8212,22.7598,637020992.0
7310,BNB USD,2018-01-07,22.7691,22.7691,18.2425,18.656799,258050000.0
7311,BNB USD,2018-01-08,18.6465,19.2167,15.3471,18.2609,296617984.0
7312,BNB USD,2018-01-09,18.174,20.320299,16.801399,17.4118,194750000.0
7313,BNB USD,2018-01-10,17.707899,17.707899,15.1708,17.3908,146582000.0
7314,BNB USD,2018-01-11,17.566601,23.1525,15.2863,21.0427,389228000.0
7315,BNB USD,2018-01-12,21.4758,24.9121,19.930401,22.316299,387537984.0
7316,BNB USD,2018-01-13,22.345301,23.666901,21.3734,22.1744,181676000.0
7317,BNB USD,2018-01-14,22.2535,22.2535,19.138,20.7773,129239000.0
7318,BNB USD,2018-01-15,20.8004,23.604799,19.3309,19.564699,244154000.0
7319,BNB USD,2018-01-16,19.634001,19.634001,10.435,13.8919,399951008.0
7320,BNB USD,2018-01-17,13.623,15.5378,9.65534,14.2032,299411008.0
7321,BNB USD,2018-01-18,14.2506,15.9596,13.5127,14.2804,204899008.0
7322,BNB USD,2018-01-19,14.3106,15.6351,13.989,14.9406,139882000.0
7323,BNB USD,2018-01-20,15.0342,16.652399,15.0342,16.1903,156744992.0
7324,BNB USD,2018-01-21,16.248899,16.248899,13.3591,14.0683,141562000.0
7325,BNB USD,2018-01-22,14.1987,14.4503,11.9146,13.0146,138026000.0
7326,BNB USD,2018-01-23,13.0015,13.9627,11.785,13.0935,91706200.0
7327,BNB USD,2018-01-24,13.1906,14.1906,12.7892,13.6287,105736000.0
7328,BNB USD,2018-01-25,13.7605,14.1374,13.065,13.2284,105648000.0
7329,BNB USD,2018-01-26,13.2109,13.5905,12.2947,13.2182,113429000.0
7330,BNB USD,2018-01-27,13.2332,13.4414,12.8942,13.253,84009400.0
