,Type,Date,Open,High,Low,Close,Volume
12782,Dogecoin USD,2018-01-01,0.009031,0.009063,0.008101,0.008909,50616900.0
12783,Dogecoin USD,2018-01-02,0.008873,0.009598,0.008551,0.009145,89424096.0
12784,Dogecoin USD,2018-01-03,0.009088,0.009584,0.008882,0.00932,66349900.0
12785,Dogecoin USD,2018-01-04,0.009346,0.010036,0.008768,0.009644,108986000.0
12786,Dogecoin USD,2018-01-05,0.00966,0.012283,0.009589,0.012167,212383008.0
12787,Dogecoin USD,2018-01-06,0.012226,0.015788,0.012226,0.014863,283716992.0
12788,Dogecoin USD,2018-01-07,0.014673,0.018773,0.014577,0.017088,288184000.0
12789,Dogecoin USD,2018-01-08,0.017115,0.017664,0.013765,0.015045,235114000.0
12790,Dogecoin USD,2018-01-09,0.015072,0.015569,0.013015,0.01342,115255000.0
12791,Dogecoin USD,2018-01-10,0.013554,0.01356,0.011485,0.013102,100243000.0
12792,Dogecoin USD,2018-01-11,0.01302,0.013153,0.010987,0.011469,62722000.0
12793,Dogecoin USD,2018-01-12,0.011479,0.013339,0.011165,0.013056,56971300.0
12794,Dogecoin USD,2018-01-13,0.013057,0.013653,0.012478,0.013023,55890600.0
12795,Dogecoin USD,2018-01-14,0.013057,0.013187,0.011344,0.011684,65899000.0
12796,Dogecoin USD,2018-01-15,0.011631,0.011779,0.009848,0.009857,62765500.0
12797,Dogecoin USD,2018-01-16,0.009863,0.009863,0.005672,0.006822,68099200.0
12798,Dogecoin USD,2018-01-17,0.006812,0.007741,0.005499,0.007648,58846200.0
12799,Dogecoin USD,2018-01-18,0.007641,0.008733,0.007195,0.007969,56599300.0
12800,Dogecoin USD,2018-01-19,0.007872,0.008435,0.007467,0.007871,30335700.0
12801,Dogecoin USD,2018-01-20,0.007957,0.008649,0.007957,0.008448,22974100.0
12802,Dogecoin USD,2018-01-21,0.008438,0.008438,0.006983,0.007131,22933100.0
12803,Dogecoin USD,2018-01-22,0.007199,0.007606,0.006318,0.006734,19968600.0
12804,Dogecoin USD,2018-01-23,0.006723,0.007049,0.006228,0.006673,17882700.0
12805,Dogecoin USD,2018-01-24,0.006642,0.007217,0.006473,0.007083,17449900.0
12806,Dogecoin USD,2018-01-25,0.007155,0.007763,0.007124,0.007667,21329400.0
12807,Dogecoin USD,2018-01-26,0.007702,0.007982,0.006795,0.007237,19572300.0
12808,Dogecoin USD,2018-01-27,0.00724,0.007545,0.007168,0.007373,11672900.0
12809,Dogecoin USD,2018-01-28,0.007409,0.007681,0.007337,0.007465,14070700.0
12810,Dogecoin USD,2018-01-29,0.007401,0.007522,0.006863,0.006967,13073100.0
12811,Dogecoin USD,2018-01-30,0.006969,0.006992,0.005942,0.006024,15855900.0
12812,Dogecoin USD,2018-01-31,0.006001,0.006219,0.005752,0.00601,14754700.0
12813,Dogecoin USD,2018-02-01,0.006021,0.00609,0.004791,0.005029,18748700.0
12814,Dogecoin USD,2018-02-02,0.005023,0.005023,0.00331,0.004475,29913700.0
12815,Dogecoin USD,2018-02-03,0.004501,0.005495,0.004159,0.005164,18018100.0
12816,Dogecoin USD,2018-02-04,0.005182,0.005317,0.004176,0.004399,12961600.0
12817,Dogecoin USD,2018-02-05,0.004397,0.00447,0.003376,0.003533,12489400.0
12818,Dogecoin USD,2018-02-06,0.003544,0.004421,0.003036,0.004361,19139100.0
12819,Dogecoin USD,2018-02-07,0.004314,0.0048,0.003934,0.004297,12990100.0
12820,Dogecoin USD,2018-02-08,0.004263,0.004872,0.004263,0.004566,9462680.0
12821,Dogecoin USD,2018-02-09,0.00456,0.005011,0.004313,0.005,11190100.0
12822,Dogecoin USD,2018-02-10,0.004982,0.005441,0.004744,0.004989,16717300.0
12823,Dogecoin USD,2018-02-11,0.004968,0.005183,0.004606,0.004956,11309800.0
12824,Dogecoin USD,2018-02-12,0.004964,0.005508,0.004964,0.005472,11124300.0
12825,Dogecoin USD,2018-02-13,0.005475,0.005678,0.005271,0.005638,14149700.0
12826,Dogecoin USD,2018-02-14,0.00563,0.006786,0.00563,0.00673,40527400.0
12827,Dogecoin USD,2018-02-15,0.006717,0.007948,0.006714,0.007347,43275000.0
12828,Dogecoin USD,2018-02-16,0.007295,0.007485,0.006529,0.007034,26553900.0
12829,Dogecoin USD,2018-02-17,0.007064,0.007322,0.006853,0.007049,18333100.0
12830,Dogecoin USD,2018-02-18,0.007114,0.007144,0.00633,0.006424,15291500.0
12831,Dogecoin USD,2018-02-19,0.00641,0.006938,0.006341,0.006697,13019200.0
12832,Dogecoin USD,2018-02-20,0.006679,0.008288,0.006399,0.007094,107911000.0
12833,Dogecoin USD,2018-02-21,0.007087,0.007391,0.006349,0.006581,36813100.0
12834,Dogecoin USD,2018-02-22,0.006568,0.006869,0.006082,0.006259,20365500.0
12835,Dogecoin USD,2018-02-23,0.006253,0.006949,0.006038,0.006648,19390500.0
12836,Dogecoin USD,2018-02-24,0.006666,0.006898,0.006131,0.006324,15687300.0
12837,Dogecoin USD,2018-02-25,0.006321,0.006411,0.005997,0.006142,11758800.0
12838,Dogecoin USD,2018-02-26,0.006169,0.006499,0.005962,0.006339,12068600.0
12839,Dogecoin USD,2018-02-27,0.006363,0.006574,0.00627,0.006291,12201900.0
12840,Dogecoin USD,2018-02-28,0.00627,0.006451,0.006006,0.006018,13227600.0
12841,Dogecoin USD,2018-03-01,0.006042,0.00632,0.005945,0.006215,15518400.0
12842,Dogecoin USD,2018-03-02,0.006174,0.006232,0.005447,0.005482,22498100.0
12843,Dogecoin USD,2018-03-03,0.005494,0.005756,0.005181,0.005301,21545000.0
12844,Dogecoin USD,2018-03-04,0.005234,0.005502,0.005164,0.005502,12133500.0
12845,Dogecoin USD,2018-03-05,0.005462,0.005535,0.005157,0.005218,13627700.0
12846,Dogecoin USD,2018-03-06,0.005122,0.005136,0.004558,0.00461,14766900.0
12847,Dogecoin USD,2018-03-07,0.004618,0.004704,0.004011,0.004024,17585500.0
12848,Dogecoin USD,2018-03-08,0.004015,0.004418,0.003895,0.004025,15499400.0
12849,Dogecoin USD,2018-03-09,0.004006,0.004146,0.003618,0.004146,13624400.0
12850,Dogecoin USD,2018-03-10,0.004137,0.004379,0.00395,0.003973,9880540.0
12851,Dogecoin USD,2018-03-11,0.003959,0.00432,0.003843,0.00421,9251440.0
12852,Dogecoin USD,2018-03-12,0.004207,0.004273,0.003835,0.004032,7601500.0
12853,Dogecoin USD,2018-03-13,0.00402,0.004234,0.003879,0.00396,6006560.0
12854,Dogecoin USD,2018-03-14,0.003954,0.004018,0.003423,0.003524,7532350.0
12855,Dogecoin USD,2018-03-15,0.003521,0.003619,0.003267,0.003536,9316740.0
12856,Dogecoin USD,2018-03-16,0.003542,0.003655,0.003441,0.00351,6407110.0
12857,Dogecoin USD,2018-03-17,0.003505,0.00355,0.003249,0.003299,6231110.0
12858,Dogecoin USD,2018-03-18,0.00328,0.00328,0.00279,0.00319,9029610.0
12859,Dogecoin USD,2018-03-19,0.003199,0.003504,0.003144,0.00344,8278910.0
12860,Dogecoin USD,2018-03-20,0.003466,0.003727,0.003388,0.003651,6638060.0
12861,Dogecoin USD,2018-03-21,0.003651,0.003833,0.003606,0.003659,6711100.0
12862,Dogecoin USD,2018-03-22,0.003666,0.003726,0.003443,0.003528,5210480.0
12863,Dogecoin USD,2018-03-23,0.003533,0.00356,0.003341,0.00356,6178530.0
12864,Dogecoin USD,2018-03-24,0.003597,0.003727,0.00351,0.00359,4461220.0
12865,Dogecoin USD,2018-03-25,0.00355,0.003576,0.003463,0.003505,3476340.0
12866,Dogecoin USD,2018-03-26,0.003498,0.003541,0.003141,0.003289,6061990.0
12867,Dogecoin USD,2018-03-27,0.003276,0.003283,0.003108,0.003145,5235300.0
12868,Dogecoin USD,2018-03-28,0.003134,0.003244,0.003114,0.003141,4912220.0
12869,Dogecoin USD,2018-03-29,0.003171,0.003177,0.002758,0.002827,5630550.0
12870,Dogecoin USD,2018-03-30,0.002811,0.00289,0.002648,0.002763,5378440.0
12871,Dogecoin USD,2018-03-31,0.002752,0.002897,0.002699,0.002819,3505010.0
12872,Dogecoin USD,2018-04-01,0.002818,0.002869,0.002595,0.002719,3373820.0
12873,Dogecoin USD,2018-04-02,0.002731,0.002814,0.002704,0.002797,5034000.0
12874,Dogecoin USD,2018-04-03,0.002794,0.002993,0.00278,0.00298,6618080.0
12875,Dogecoin USD,2018-04-04,0.002982,0.003006,0.002717,0.00277,5330250.0
12876,Dogecoin USD,2018-04-05,0.002785,0.002791,0.002654,0.002714,4829150.0
12877,Dogecoin USD,2018-04-06,0.002715,0.002737,0.002614,0.00267,2848290.0
12878,Dogecoin USD,2018-04-07,0.002682,0.002865,0.002669,0.002802,3034220.0
12879,Dogecoin USD,2018-04-08,0.002786,0.002907,0.002786,0.002843,3683180.0
12880,Dogecoin USD,2018-04-09,0.002855,0.002929,0.002724,0.002763,4827250.0
12881,Dogecoin USD,2018-04-10,0.002759,0.003073,0.00274,0.003043,10212100.0
12882,Dogecoin USD,2018-04-11,0.003039,0.003499,0.003013,0.003396,25292400.0
12883,Dogecoin USD,2018-04-12,0.003374,0.003798,0.003255,0.003798,13877700.0
12884,Dogecoin USD,2018-04-13,0.003782,0.004294,0.00375,0.003995,18150400.0
12885,Dogecoin USD,2018-04-14,0.003958,0.004218,0.003924,0.00415,13585900.0
