,Type,Date,Open,High,Low,Close,Volume
14608,Litecoin USD,2018-01-01,231.666,236.634003,222.203003,229.033005,633142016.0
14609,Litecoin USD,2018-01-02,228.990005,263.625,228.990005,255.684006,1237949952.0
14610,Litecoin USD,2018-01-03,255.695007,260.742004,243.134995,245.367996,3215280128.0
14611,Litecoin USD,2018-01-04,245.475006,245.475006,227.013,241.369995,3481550080.0
14612,Litecoin USD,2018-01-05,241.033997,256.14801,237.880005,249.270996,1710599936.0
14613,Litecoin USD,2018-01-06,249.768005,323.11499,249.414993,296.45401,2264740096.0
14614,Litecoin USD,2018-01-07,296.053009,305.527008,281.927002,288.450989,1055400000.0
14615,Litecoin USD,2018-01-08,287.725006,289.069,237.664993,255.763,1182080000.0
14616,Litecoin USD,2018-01-09,254.606003,258.502991,240.184006,247.037003,940825024.0
14617,Litecoin USD,2018-01-10,248.072998,251.054001,233.858994,250.518005,1009910016.0
14618,Litecoin USD,2018-01-11,251.522003,255.048004,223.003006,229.365997,1079389952.0
14619,Litecoin USD,2018-01-12,229.787003,243.591995,224.820999,236.856003,691160000.0
14620,Litecoin USD,2018-01-13,236.882004,263.195007,236.882004,259.192993,961043008.0
14621,Litecoin USD,2018-01-14,260.57901,270.85199,234.272003,238.675003,886414976.0
14622,Litecoin USD,2018-01-15,237.289001,245.003998,232.774002,232.774002,601769984.0
14623,Litecoin USD,2018-01-16,232.817001,232.817001,152.292999,188.330994,1405069952.0
14624,Litecoin USD,2018-01-17,190.145004,197.789993,141.007004,186.516006,1422489984.0
14625,Litecoin USD,2018-01-18,186.949005,207.016006,176.830002,192.837006,936784000.0
14626,Litecoin USD,2018-01-19,191.192001,202.074997,186.938004,192.964005,560284032.0
14627,Litecoin USD,2018-01-20,194.378006,214.587997,194.378006,211.018005,540785984.0
14628,Litecoin USD,2018-01-21,211.235001,211.235001,184.636002,190.421005,463516000.0
14629,Litecoin USD,2018-01-22,191.789993,195.246002,166.882996,180.007996,494091008.0
14630,Litecoin USD,2018-01-23,180.279007,186.306,165.725998,177.807007,441764992.0
14631,Litecoin USD,2018-01-24,178.425003,186.279007,173.718994,179.987,375948992.0
14632,Litecoin USD,2018-01-25,181.563004,185.423004,176.348999,180.272003,363137984.0
14633,Litecoin USD,2018-01-26,179.819,182.891998,167.084,176.733994,375476992.0
14634,Litecoin USD,2018-01-27,176.660995,183.154007,174.878998,180.886002,291632992.0
14635,Litecoin USD,2018-01-28,181.421005,194.679001,181.421005,193.865005,363515008.0
14636,Litecoin USD,2018-01-29,193.751007,194.386002,179.231995,181.664001,303560992.0
14637,Litecoin USD,2018-01-30,181.445007,181.518005,163.033997,165.276001,433227008.0
14638,Litecoin USD,2018-01-31,165.296005,167.067993,157.645004,163.350998,363292992.0
14639,Litecoin USD,2018-02-01,163.682007,165.813995,131.548004,142.296997,539880000.0
14640,Litecoin USD,2018-02-02,142.561996,142.561996,105.346001,131.378998,815539968.0
14641,Litecoin USD,2018-02-03,131.401001,165.554993,121.166,160.25,687676032.0
14642,Litecoin USD,2018-02-04,160.380997,173.796005,139.694,148.024994,1006080000.0
14643,Litecoin USD,2018-02-05,148.727005,153.524002,118.147003,125.330002,844678016.0
14644,Litecoin USD,2018-02-06,127.521004,146.113998,106.944,142.990997,1148409984.0
14645,Litecoin USD,2018-02-07,142.481995,157.897995,131.524002,138.203003,817808000.0
14646,Litecoin USD,2018-02-08,138.335999,151.080994,138.335999,149.466003,869206976.0
14647,Litecoin USD,2018-02-09,149.729996,163.979996,142.585999,163.949997,722204992.0
14648,Litecoin USD,2018-02-10,163.488007,169.328995,149.143997,155.593002,576328000.0
14649,Litecoin USD,2018-02-11,155.391998,155.731003,142.610992,148.990005,495720000.0
14650,Litecoin USD,2018-02-12,150.104004,163.348007,150.104004,161.565994,535710016.0
14651,Litecoin USD,2018-02-13,161.774994,162.373993,153.511002,159.554001,483468000.0
14652,Litecoin USD,2018-02-14,159.578995,218.231003,159.578995,213.358994,2383340032.0
14653,Litecoin USD,2018-02-15,212.347,237.876999,211.173996,225.425995,2087289984.0
14654,Litecoin USD,2018-02-16,225.5,236.087997,212.328995,230.123993,1300089984.0
14655,Litecoin USD,2018-02-17,229.501999,233.451004,225.602997,229.464996,863401024.0
14656,Litecoin USD,2018-02-18,230.509003,232.643997,214.457993,215.735992,1011120000.0
14657,Litecoin USD,2018-02-19,215.414993,226.966995,215.376999,223.057007,767596992.0
14658,Litecoin USD,2018-02-20,223.087006,253.897995,222.507004,232.850998,1739670016.0
14659,Litecoin USD,2018-02-21,230.947998,235.410004,208.925003,213.352005,1195820032.0
