,Type,Date,Open,High,Low,Close,Volume
16434,Polkadot USD,2021-01-01,9.28818,9.416587,8.120194,8.306819,2791211123.0
16435,Polkadot USD,2021-01-02,8.305492,9.761335,7.94329,9.208837,3049232407.0
16436,Polkadot USD,2021-01-03,9.209648,10.457493,8.873362,10.033283,3032883074.0
16437,Polkadot USD,2021-01-04,10.062048,10.505565,8.77721,9.469611,2893262630.0
16438,Polkadot USD,2021-01-05,9.475802,10.041344,9.084263,9.701656,2080742171.0
16439,Polkadot USD,2021-01-06,9.707113,10.371598,9.489743,10.096068,2382484175.0
16440,Polkadot USD,2021-01-07,10.094014,10.629005,9.496402,9.644585,2521342761.0
16441,Polkadot USD,2021-01-08,9.645126,9.795449,8.861684,9.307135,2350202788.0
16442,Polkadot USD,2021-01-09,9.305773,9.823151,9.053466,9.777765,1478813230.0
16443,Polkadot USD,2021-01-10,9.777318,9.994553,8.752951,9.305048,1603968712.0
16444,Polkadot USD,2021-01-11,9.304654,9.304654,7.22859,8.27644,3251043299.0
16445,Polkadot USD,2021-01-12,8.272259,8.616104,7.973653,8.264148,1918790089.0
16446,Polkadot USD,2021-01-13,8.265112,11.299746,7.989519,10.95771,2915711373.0
16447,Polkadot USD,2021-01-14,10.947876,14.549703,10.925012,14.53905,5405054869.0
16448,Polkadot USD,2021-01-15,14.52252,14.855377,11.851579,13.212381,6159630996.0
16449,Polkadot USD,2021-01-16,13.19805,19.322062,13.185754,18.180424,8917081506.0
16450,Polkadot USD,2021-01-17,18.150343,18.150343,16.40896,16.984255,6091648732.0
16451,Polkadot USD,2021-01-18,16.997017,18.101706,15.82463,16.512926,3888179752.0
16452,Polkadot USD,2021-01-19,16.521078,17.467545,16.048328,16.46851,3414422602.0
16453,Polkadot USD,2021-01-20,16.452497,18.125744,14.833469,17.948931,4624508717.0
16454,Polkadot USD,2021-01-21,17.979416,18.060772,15.052482,15.944838,4843725549.0
16455,Polkadot USD,2021-01-22,15.931008,17.983864,14.891926,17.161442,2991599976.0
16456,Polkadot USD,2021-01-23,17.159592,18.753698,16.870321,18.5982,2842317183.0
16457,Polkadot USD,2021-01-24,18.600634,18.724527,17.380526,17.999649,2800444854.0
16458,Polkadot USD,2021-01-25,17.997595,19.051947,17.119707,17.250456,3351498659.0
16459,Polkadot USD,2021-01-26,17.244648,17.769098,16.075432,17.117762,2588253411.0
16460,Polkadot USD,2021-01-27,17.116114,17.116114,15.084266,15.504861,2973163194.0
16461,Polkadot USD,2021-01-28,15.498237,17.463062,15.356571,16.944933,2960951225.0
