,Type,Date,Open,High,Low,Close,Volume
0,Tether USD,2018-01-01,1.01255,1.01536,1.00153,1.00728,1685299968.0
1,Tether USD,2018-01-02,1.00574,1.00988,0.99325,1.0049,2635859968.0
2,Tether USD,2018-01-03,1.0066,1.02328,1.00264,1.01344,2471689984.0
3,Tether USD,2018-01-04,1.0132,1.01618,0.993822,1.00253,3200130048.0
4,Tether USD,2018-01-05,1.00175,1.00501,0.985915,0.998634,3096620032.0
5,Tether USD,2018-01-06,1.00028,1.01209,0.996847,1.00899,2620080128.0
6,Tether USD,2018-01-07,1.00727,1.01572,0.998208,1.00157,2338180096.0
7,Tether USD,2018-01-08,1.00514,1.04236,0.997617,1.00932,3815749888.0
8,Tether USD,2018-01-09,1.00858,1.0143,1.00066,1.00599,2766180096.0
9,Tether USD,2018-01-10,1.00515,1.01382,0.996446,1.00128,3189860096.0
10,Tether USD,2018-01-11,0.999976,1.02352,0.990198,1.00171,3841110016.0
11,Tether USD,2018-01-12,1.00625,1.0191,0.997711,1.00608,2668219904.0
12,Tether USD,2018-01-13,1.00413,1.01256,0.996576,1.00202,2759879936.0
13,Tether USD,2018-01-14,1.00436,1.04031,1.00064,1.01612,2960410112.0
14,Tether USD,2018-01-15,1.01539,1.024,1.00172,1.00662,2557179904.0
15,Tether USD,2018-01-16,1.00677,1.04645,0.999001,1.03415,5552929792.0
16,Tether USD,2018-01-17,1.03287,1.06989,0.997739,1.01453,5588839936.0
17,Tether USD,2018-01-18,1.01726,1.0399,1.00127,1.02311,4302300160.0
18,Tether USD,2018-01-19,1.02332,1.04222,1.00249,1.00454,2876989952.0
19,Tether USD,2018-01-20,1.00699,1.0135,0.991443,1.00111,2942779904.0
20,Tether USD,2018-01-21,1.00292,1.02661,0.997069,0.999861,3302010112.0
21,Tether USD,2018-01-22,1.004,1.01931,0.99151,1.00504,3274899968.0
22,Tether USD,2018-01-23,1.004,1.01953,0.984474,1.00505,3126830080.0
23,Tether USD,2018-01-24,1.00084,1.0307,0.992246,0.997484,2620630016.0
24,Tether USD,2018-01-25,1.00553,1.01274,0.987358,0.999595,2571930112.0
25,Tether USD,2018-01-26,0.997571,1.02154,0.985767,1.00414,2957009920.0
26,Tether USD,2018-01-27,1.00281,1.0098,0.992227,0.993325,2051980032.0
27,Tether USD,2018-01-28,0.996548,1.0011,0.981275,0.98879,2546639872.0
28,Tether USD,2018-01-29,0.98844,1.00158,0.981718,0.995319,2031160064.0
29,Tether USD,2018-01-30,0.998672,1.01238,0.975436,0.986486,3108630016.0
30,Tether USD,2018-01-31,0.992538,1.0026,0.971403,0.990274,2663930112.0
31,Tether USD,2018-02-01,0.991558,1.01161,0.954771,0.986939,3498899968.0
32,Tether USD,2018-02-02,0.986294,1.02023,0.925144,0.990747,4785869824.0
33,Tether USD,2018-02-03,0.994071,1.01587,0.982879,1.00131,2488529920.0
34,Tether USD,2018-02-04,1.00438,1.01013,0.975209,1.01013,2504640000.0
35,Tether USD,2018-02-05,0.995794,1.01628,0.944777,0.996308,4078980096.0
36,Tether USD,2018-02-06,0.9785,1.02017,0.958318,1.01009,6247249920.0
37,Tether USD,2018-02-07,1.00215,1.01989,0.984647,1.0014,3307539968.0
38,Tether USD,2018-02-08,0.99497,1.03403,0.987534,1.01891,2466619904.0
39,Tether USD,2018-02-09,1.02109,1.04818,0.995049,1.00211,1631139968.0
40,Tether USD,2018-02-10,1.00348,1.01495,0.993346,1.0037,2628379904.0
41,Tether USD,2018-02-11,1.00492,1.01252,0.992728,0.999251,2431739904.0
42,Tether USD,2018-02-12,1.00021,1.00796,0.990812,1.00009,2457489920.0
43,Tether USD,2018-02-13,1.0008,1.00865,0.995931,1.0011,2226759936.0
44,Tether USD,2018-02-14,0.997715,1.00681,0.993292,1.00077,3066190080.0
45,Tether USD,2018-02-15,1.00504,1.01921,0.997203,1.00541,3286909952.0
46,Tether USD,2018-02-16,1.00504,1.01002,0.996746,1.0021,2605819904.0
47,Tether USD,2018-02-17,1.00474,1.01161,0.996919,1.0037,2797600000.0
48,Tether USD,2018-02-18,1.00468,1.01619,0.998832,1.00519,3124179968.0
49,Tether USD,2018-02-19,1.00133,1.00608,0.994041,1.00061,2546439936.0
50,Tether USD,2018-02-20,1.00065,1.00961,0.994081,1.00061,3126220032.0
51,Tether USD,2018-02-21,1.00536,1.01039,0.988699,1.00097,3459830016.0
52,Tether USD,2018-02-22,1.00153,1.01075,0.993998,1.00409,2904620032.0
53,Tether USD,2018-02-23,1.00845,1.00966,0.993702,1.00157,2815280128.0
54,Tether USD,2018-02-24,1.00114,1.014,0.993887,1.00284,2417710080.0
55,Tether USD,2018-02-25,1.00479,1.009,0.996229,1.00034,1968850048.0
56,Tether USD,2018-02-26,0.997664,1.00952,0.989677,0.999561,2362210048.0
57,Tether USD,2018-02-27,0.998677,1.00847,0.991642,1.00052,2473019904.0
58,Tether USD,2018-02-28,1.00329,1.00705,0.992791,0.998903,2414230016.0
59,Tether USD,2018-03-01,0.999847,1.00518,0.995679,1.00042,2285570048.0
60,Tether USD,2018-03-02,0.998189,1.0056,0.994439,0.99973,2172250112.0
61,Tether USD,2018-03-03,0.995248,1.00619,0.993477,1.00087,2181489920.0
62,Tether USD,2018-03-04,1.00019,1.00495,0.995287,0.997612,2133910016.0
63,Tether USD,2018-03-05,0.997521,1.00172,0.995019,0.998864,2227680000.0
64,Tether USD,2018-03-06,1.00504,1.00596,0.99626,1.0005,2491849984.0
65,Tether USD,2018-03-07,0.998354,1.02412,0.981378,1.00248,3037380096.0
66,Tether USD,2018-03-08,1.00153,1.01134,0.985734,1.00591,2636689920.0
67,Tether USD,2018-03-09,0.999723,1.01349,0.988564,1.00166,3131620096.0
68,Tether USD,2018-03-10,0.997607,1.01348,0.994936,1.00519,2218810112.0
69,Tether USD,2018-03-11,1.00347,1.01356,0.994709,1.00384,2394810112.0
70,Tether USD,2018-03-12,1.00018,1.01408,0.98853,1.00235,2155559936.0
71,Tether USD,2018-03-13,1.00184,1.01209,0.987195,0.999843,1890040064.0
72,Tether USD,2018-03-14,0.996581,1.02033,0.991337,1.00275,2151670016.0
73,Tether USD,2018-03-15,1.00066,1.01192,0.984939,1.00128,2259869952.0
74,Tether USD,2018-03-16,0.997509,1.01151,0.989567,0.998551,1872050048.0
75,Tether USD,2018-03-17,1.00155,1.00959,0.990731,1.00162,1687920000.0
76,Tether USD,2018-03-18,1.00517,1.01352,0.979781,1.00308,2639470080.0
77,Tether USD,2018-03-19,0.982194,1.02082,0.982194,0.989867,2638089984.0
78,Tether USD,2018-03-20,1.00602,1.00633,0.98957,0.996832,2506319872.0
79,Tether USD,2018-03-21,0.996938,1.00901,0.992647,0.999244,2353890048.0
80,Tether USD,2018-03-22,0.99946,1.01118,0.993468,0.998982,2171849984.0
81,Tether USD,2018-03-23,0.999221,1.00861,0.990235,0.990235,1995699968.0
82,Tether USD,2018-03-24,1.00164,1.0091,0.994299,1.0091,1785500032.0
83,Tether USD,2018-03-25,1.00012,1.01018,0.994482,0.999686,1511320064.0
84,Tether USD,2018-03-26,0.9966,1.01308,0.983682,1.00341,2183960064.0
85,Tether USD,2018-03-27,1.00242,1.01292,0.989473,1.00161,2051079936.0
86,Tether USD,2018-03-28,1.00228,1.00999,0.993721,0.999204,1857049984.0
87,Tether USD,2018-03-29,1.0026,1.01102,0.982472,0.998623,2486609920.0
88,Tether USD,2018-03-30,0.995897,1.00847,0.979633,0.998943,2596849920.0
89,Tether USD,2018-03-31,0.997014,1.00849,0.993569,1.00077,1763719936.0
