,Type,Date,Open,High,Low,Close,Volume
5478,TRON USD,2018-01-01,0.044682,0.052813,0.0434,0.051695,516798016.0
5479,TRON USD,2018-01-02,0.05207,0.086989,0.05207,0.078682,1604039936.0
5480,TRON USD,2018-01-03,0.078648,0.094703,0.068306,0.094703,1136850048.0
5481,TRON USD,2018-01-04,0.09492,0.217114,0.09492,0.207974,4089410048.0
5482,TRON USD,2018-01-05,0.209579,0.300363,0.176712,0.220555,3864399872.0
5483,TRON USD,2018-01-06,0.224499,0.232172,0.143149,0.174797,2437349888.0
5484,TRON USD,2018-01-07,0.173678,0.199655,0.145697,0.199655,1750349952.0
5485,TRON USD,2018-01-08,0.205195,0.205195,0.131582,0.151993,1532320000.0
5486,TRON USD,2018-01-09,0.154165,0.156468,0.105963,0.124782,1262109952.0
5487,TRON USD,2018-01-10,0.12702,0.136777,0.097435,0.129553,1729920000.0
5488,TRON USD,2018-01-11,0.130827,0.130827,0.097425,0.10908,1074579968.0
5489,TRON USD,2018-01-12,0.109802,0.112919,0.104891,0.108858,679499008.0
5490,TRON USD,2018-01-13,0.108694,0.119219,0.100102,0.103035,819091008.0
5491,TRON USD,2018-01-14,0.102634,0.103169,0.084271,0.084782,714278976.0
5492,TRON USD,2018-01-15,0.08489,0.097897,0.067721,0.075694,1013430016.0
5493,TRON USD,2018-01-16,0.076045,0.076371,0.04055,0.054488,695308992.0
5494,TRON USD,2018-01-17,0.053796,0.08431,0.044651,0.075623,1326569984.0
5495,TRON USD,2018-01-18,0.076432,0.110867,0.07354,0.083179,1392329984.0
5496,TRON USD,2018-01-19,0.082409,0.088133,0.072995,0.080499,706521984.0
5497,TRON USD,2018-01-20,0.081158,0.088724,0.080608,0.085201,626438976.0
5498,TRON USD,2018-01-21,0.084868,0.085698,0.068421,0.071186,561259008.0
5499,TRON USD,2018-01-22,0.071947,0.082809,0.063831,0.071412,623766976.0
5500,TRON USD,2018-01-23,0.07121,0.074035,0.062891,0.068572,409592000.0
5501,TRON USD,2018-01-24,0.068596,0.07432,0.066939,0.070421,505468992.0
5502,TRON USD,2018-01-25,0.071252,0.073681,0.067022,0.068766,362497984.0
5503,TRON USD,2018-01-26,0.0686,0.071055,0.06036,0.06663,381401984.0
5504,TRON USD,2018-01-27,0.066495,0.069426,0.064973,0.068422,282556992.0
5505,TRON USD,2018-01-28,0.068916,0.070875,0.065049,0.065495,276320992.0
5506,TRON USD,2018-01-29,0.065431,0.066769,0.063113,0.064001,256876000.0
5507,TRON USD,2018-01-30,0.064065,0.06412,0.051581,0.053761,267126000.0
5508,TRON USD,2018-01-31,0.053958,0.054454,0.049636,0.054454,251080992.0
5509,TRON USD,2018-02-01,0.054753,0.058563,0.043161,0.046227,288656000.0
